Plot,PlotNr,mean,median,stdev
16-1,"163001",2.021047132015228,2.032171249389648,0.046478987639014
16-2,"163002",1.863069814794204,1.865068674087524,0.011729001971791
14-2,"143002",1.634488221442345,1.636682868003845,0.017900180848725
14-1,"143001",1.509217055098524,1.511633872985840,0.010907894234192
14-3,"143003",1.285575858354568,1.292124509811401,0.020835114083497
17-1,"173001",1.714704296168159,1.726454794406891,0.094608165332933
17-2,"173002",1.092202867947373,1.089690923690796,0.028312206821527
17-3,"173003",1.655509836745985,1.659489154815674,0.070110738233147
15-3,"153003",0.932834059596062,0.930622965097427,0.021417656036082
15-2,"153002",0.970127175155195,0.968340933322906,0.009329817870573
15-1,"153001",1.069805720417770,1.036245107650757,0.067189869864415
18-1,"183001",2.306939129877572,2.334791421890259,0.135055650245110
19-1,"193001",2.500005090236664,2.502448678016663,0.008409866113891
20-1,"203001",2.426523351669311,2.445895671844482,0.039608177379824
21-1,"213001",1.991295104026794,1.992601335048676,0.012234404172634
22-1,"223001",1.910349310636520,1.914733588695526,0.019401276460434
23-1,"233001",1.888192930606881,1.890749812126160,0.013104495275368
24-1,"243001",1.572041003704071,1.574304521083832,0.009872204364210
25-1,"253001",1.845813192883316,1.834261238574982,0.021001371342115
26-1,"263001",1.337025668885973,1.332315444946289,0.022535366990459
