Plot,PlotNr,mean,median,stdev
16-1,"163001",0.359542160034180,0.358814239501953,0.021621253792859
16-2,"163002",0.516547109566483,0.517227172851562,0.031178181824225
14-2,"143002",1.727573961314588,1.726638793945312,0.016936622492319
14-1,"143001",1.485068237897262,1.476181030273438,0.050151839139843
14-3,"143003",0.821607589721680,0.801769256591797,0.062466591910012
17-1,"173001",1.121004441205193,1.134162902832031,0.048647477884981
17-2,"173002",-0.001593197093290,-0.040576934814453,0.134004413701419
17-3,"173003",0.418106849747475,0.392272949218750,0.082622241529606
15-3,"153003",0.467404632568359,0.443088531494141,0.102526711470640
15-2,"153002",0.716899168144152,0.693832397460938,0.074194474638239
15-1,"153001",0.592132096438064,0.588233947753906,0.063464162499993
18-1,"183001",1.152813073360559,1.165977478027344,0.039369122378973
19-1,"193001",0.844241333007812,0.838516235351562,0.065968177852957
20-1,"203001",0.999208755493164,1.007282257080078,0.044576403380424
21-1,"213001",0.902796401977539,0.903087615966797,0.040141315890943
22-1,"223001",0.941565856933594,0.949977874755859,0.025969685380040
23-1,"233001",0.729998347735164,0.722763061523438,0.038668271169702
24-1,"243001",1.470833282470703,1.462017059326172,0.049688180286536
25-1,"253001",0.444250379289900,0.444751739501953,0.016346298595068
26-1,"263001",0.287455395014599,0.278991699218750,0.030790259571526
