Species	F	R	N	alt.moist	flood
Acer.campestre	5	7	6	0	0
Achillea.millefolium	4	NA	5	0	0
Agrimonia.eupatoria	4	8	4	0	0
Agrostis.capillaris	NA	4	4	0	0
Agrostis.stolonifera	7	NA	5	1	0
Ajuga.reptans	6	6	6	0	0
Alopecurus.pratensis	6	6	7	0	0
Arctium.lappa	5	7	9	0	0
Arrhenatherum.elatius	5	7	7	0	0
Bellis.perennis	5	NA	6	0	0
Bistorta.officinalis	7	5	5	0	0
Calamagrostis.epigejos	NA	NA	6	1	0
Calystegia.sepium	6	7	9	0	0
Campanula.patula	5	7	5	0	0
Cardamine.pratensis	6	NA	NA	0	0
Carex.acuta	9	6	4	0	0
Carex.disticha	9	8	5	0	1
Carex.hirta	6	NA	5	1	0
Carex.otrubae	8	7	6	0	0
Centaurea.jacea	NA	NA	NA	0	0
Cerastium.glomeratum	5	5	5	0	0
Cerastium.holosteoides	5	NA	5	0	0
Cichorium.intybus	4	8	5	0	0
Cirsium.arvense	NA	NA	7	0	0
Convolvulus.arvensis	4	7	NA	0	0
Cornus.sanguinea	5	7	NA	0	0
Crataegus.monogyna	4	8	4	0	0
Crataegus.x.media	NA	NA	NA	0	0
Crepis.biennis	6	6	5	0	0
Crepis.capillaris	5	6	4	0	0
Dactylis.glomerata	5	NA	6	0	0
Daucus.carota	4	NA	4	0	0
Deschampsia.cespitosa	7	NA	3	1	0
Elymus.repens	NA	NA	7	1	0
Equisetum.arvense	NA	NA	3	1	0
Equisetum.palustre	8	NA	3	0	0
Euphorbia.cyparissias	3	NA	3	0	0
Festuca.ovina	3	3	NA	0	0
Festuca.pratensis.et.arundinacea	6	NA	6	0	0
Festuca.rubra	6	6	NA	0	0
Filipendula.ulmaria	8	NA	5	0	0
Fragaria.viridis	3	8	3	0	0
Fraxinus.excelsior	NA	7	7	0	0
Galium.aparine	NA	6	8	0	0
Galium.boreale	6	8	2	1	0
Galium.mollugo	4	7	NA	0	0
Glechoma.hederacea	6	NA	7	0	0
Glyceria.maxima	10	8	9	0	0
Heracleum.sphondylium	5	NA	8	0	0
Holcus.lanatus	6	NA	5	0	0
Humulus.lupulus	8	6	8	0	1
Hypericum.perforatum	4	6	4	0	0
Hypochaeris.radicata	5	4	3	0	0
Iris.pseudacorus	9	NA	7	0	1
Juncus.effusus	7	3	4	0	0
Lathyrus.pratensis	6	7	6	0	0
Linaria.vulgaris	4	7	5	0	0
Lotus.corniculatus	4	7	3	0	0
Lysimachia.nummularia	6	NA	NA	1	0
Lysimachia.vulgaris	8	NA	NA	1	0
Lythrum.salicaria	8	6	NA	1	0
Malus.sylvestris	5	7	5	0	0
Odontites.vulgaris	5	7	5	1	0
Persicaria.amphibia	11	6	4	0	0
Phalaris.arundinacea	8	7	7	1	0
Phleum.pratense	5	NA	7	0	0
Phragmites.australis	10	7	7	0	0
Picris.hieracioides	4	8	4	0	0
Pilosella.spec.	NA	NA	NA	0	0
Pimpinella.major	5	7	6	0	0
Plantago.lanceolata	NA	NA	NA	1	0
Plantago.major	5	NA	6	0	0
Poa.palustris	9	8	7	0	1
Poa.pratensis	5	NA	6	0	0
Poa.spec.	NA	NA	NA	0	0
Poa.trivialis	7	NA	7	0	0
Potentilla.anserina	6	NA	7	1	0
Potentilla.reptans	6	7	5	0	0
Prunella.vulgaris	5	7	5	0	0
Prunus.spinosa	4	7	NA	0	0
Quercus.robur	NA	NA	NA	0	0
Quercus.spec.	NA	NA	NA	0	0
Ranunculus.acris	6	NA	NA	0	0
Ranunculus.repens	7	NA	7	1	0
Rosa.canina	4	NA	NA	0	0
Rosa.spec.	NA	NA	NA	0	0
Rubus.caesius	NA	8	7	0	0
Rubus.sect.Rubus	NA	NA	NA	0	0
Rumex.acetosa	NA	NA	6	0	0
Rumex.crispus	7	NA	6	1	0
Sambucus.nigra	5	NA	9	0	0
Sanguisorba.officinalis	6	NA	5	1	0
Selinum.carvifolia	7	5	3	0	0
Silaum.silaus	NA	7	3	1	0
Silene.flos-cuculi	7	NA	NA	1	0
Solidago.canadensis	NA	NA	6	0	0
Stachys.officinalis	NA	NA	3	1	0
Stachys.palustris	7	7	6	1	0
Stellaria.graminea	5	4	3	0	0
Symphytum.officinale	7	NA	8	0	0
Taraxacum.sect.Ruderalia	5	NA	8	0	0
Thalictrum.lucidum	8	7	3	0	0
Torilis.japonica	5	8	8	0	0
Trifolium.dubium	4	6	4	0	0
Trifolium.pratense	5	NA	NA	0	0
Trifolium.repens	5	6	6	0	0
Typha.angustifolia	10	7	7	0	0
Urtica.dioica	6	7	9	0	0
Valeriana.officinalis	8	7	5	1	0
Veronica.chamaedrys	5	NA	NA	0	0
Veronica.longifolia	8	7	6	1	0
Veronica.serpyllifolia	5	5	5	0	0
Vicia.cracca	6	NA	NA	0	0
Vicia.sepium	5	6	5	0	0
Viola.hirta	3	8	3	0	0
Viola.odorata	5	NA	8	0	0
