Species/Plot;143001;143002;143003;153001;153002;153003;163001;163002;173001;173002;173003;183001;193001;2b3001;213001;223001;233001;243001;253001;263001
Acer campestre;;;;r;+;1;;;;;;;;;;;;;;
Achillea millefolium;1;;+;;;;+;1;1;;+;+;1;2a;;1;2b;1;1;
Agrimonia eupatoria;1;;;;+;;+;+;;;;;+;+;;2a;2a;1;+;r
Agrostis capillaris;1;1;2a;;;;;+;;+;+;1;+;;1;1;;r;;
Agrostis stolonifera;;;;;;;;;;;1;;;;;;;;;+
Ajuga reptans;;;;;;;;;;;;;+;;;;;;;
Alopecurus pratensis;2a;2a;2a;2a;1;1;2a;1;+;+;2a;;1;;1;;;1;+;+
Arctium lappa;;r;;;;;;;;;;;;;;;;;;
Arrhenatherum elatius;2b;2a;1;2a;+;;1;3;2b;+;1;2a;2a;2b;2a;3;2b;1;1;+
Bellis perennis;;;;;;;;;;;r;;;;;;;;;
Bistorta officinalis;;+;;;;;;;;;;;;;;;;;;
Calamagrostis epigejos;;;;2a;3;1;;;;;;;;;;;1;;;
Calystegia sepium;;;;+;r;1;;;;;;;;;;;;;;
Campanula patula;+;;;;;;;;+;;;;+;+;+;;;;;
Cardamine pratensis;;;;;;;;;;;+;;;;;;;;;
Carex acuta;;;;2a;;4;;;;;;;;;;;;;;
Carex disticha;;;;+;r;;;;;;;;;;;;;;;
Carex hirta;;;;;;;2a;;;+;;;;;;;;;;
Carex otrubae;;;;+;;;;;;;;;;;;;;;;
Centaurea jacea;1;;1;;;;+;2a;+;;;+;+;+;1;;2a;1;1;r
Cerastium glomeratum;;;;;;;;;;;;;;;;;;+;;
Cerastium holosteoides;+;;+;;;;+;+;+;;;;+;;+;;;;r;r
Cichorium intybus;;;;;;;;;;;;;;;;r;;;;
Cirsium arvense;;;+;2a;+;+;+;+;+;;+;+;+;+;2a;1;2a;;+;r
Convolvulus arvensis;;;+;;;;;;;;;;;;;;+;;;
Cornus sanguinea;;;;;r;;;;;;;;;;;;;;;
Crataegus monogyna;;;;r;;;;;;;;;;;;;;;;
Crataegus x media;;;;;+;;;;;;;;;;;;;;;
Crepis biennis;;+;+;;;;;;;;;;;;;;+;;;
Crepis capillaris;;;;;;;;;;;;;;;+;;;;;
Dactylis glomerata;+;+;+;2a;+;;;+;;+;+;+;+;1;1;1;+;2a;1;
